id,subject,created_at,trial_num,reading_time,correct_response,paragraph_type,response_time,highlight_speed,is_dyslexic,is_eng_main,is_from_phone,age
1,f3b94e2b-8a17-4e41-ac92-1ff7a841e590,2023-10-12 16:48:57.829221+00,1,15.2327256202698,true,plain,0.793555974960327,4.5,false,false,false,26
2,f3b94e2b-8a17-4e41-ac92-1ff7a841e590,2023-10-12 16:48:58.354898+00,2,12.6161751747131,true,plain,0.605831384658813,4.5,false,false,false,26
3,f3b94e2b-8a17-4e41-ac92-1ff7a841e590,2023-10-12 16:48:58.866472+00,3,10.7348146438599,true,highlighted,0.56347918510437,4.5,false,false,false,26
4,f3b94e2b-8a17-4e41-ac92-1ff7a841e590,2023-10-12 16:48:59.390555+00,4,12.3659436702728,true,plain,0.641522407531738,4.5,false,false,false,26
5,f3b94e2b-8a17-4e41-ac92-1ff7a841e590,2023-10-12 16:48:59.90871+00,5,16.1051642894745,true,plain,0.727471828460693,4.5,false,false,false,26
6,f3b94e2b-8a17-4e41-ac92-1ff7a841e590,2023-10-12 16:49:00.423915+00,6,13.5060884952545,true,highlighted,0.917377233505249,4.5,false,false,false,26
7,f3b94e2b-8a17-4e41-ac92-1ff7a841e590,2023-10-12 16:49:00.94958+00,7,16.193146944046,true,highlighted,4.41810631752014,4.5,false,false,false,26
8,f3b94e2b-8a17-4e41-ac92-1ff7a841e590,2023-10-12 16:49:01.152716+00,8,14.8898370265961,true,plain,0.666907548904419,4.5,false,false,false,26
9,f3b94e2b-8a17-4e41-ac92-1ff7a841e590,2023-10-12 16:49:01.712792+00,9,14.1843647956848,true,plain,2.91163849830627,4.5,false,false,false,26
10,f3b94e2b-8a17-4e41-ac92-1ff7a841e590,2023-10-12 16:49:01.974325+00,10,10.2474389076233,true,highlighted,0.480819702148438,4.5,false,false,false,26
11,f3b94e2b-8a17-4e41-ac92-1ff7a841e590,2023-10-12 16:49:02.4798+00,11,15.0169613361359,true,highlighted,0.578185558319092,4.5,false,false,false,26
12,f3b94e2b-8a17-4e41-ac92-1ff7a841e590,2023-10-12 16:49:02.698517+00,12,15.561007976532,false,plain,0.613523006439209,4.5,false,false,false,26
13,e0851c7a-feb4-47e3-8521-abf4525d05f3,2023-10-12 16:58:48.800957+00,1,26.2033708095551,true,plain,0.854304552078247,4,false,true,false,28
14,e0851c7a-feb4-47e3-8521-abf4525d05f3,2023-10-12 16:58:49.313286+00,2,11.9983053207397,true,plain,1.26906728744507,4,false,true,false,28
15,e0851c7a-feb4-47e3-8521-abf4525d05f3,2023-10-12 16:58:49.824456+00,3,19.0555486679077,true,highlighted,0.687438488006592,4,false,true,false,28
16,e0851c7a-feb4-47e3-8521-abf4525d05f3,2023-10-12 16:58:51.930655+00,4,18.4547302722931,true,plain,0.961732149124146,4,false,true,false,28
17,e0851c7a-feb4-47e3-8521-abf4525d05f3,2023-10-12 16:58:52.193295+00,5,16.0135488510132,true,highlighted,0.483181476593018,4,false,true,false,28
18,e0851c7a-feb4-47e3-8521-abf4525d05f3,2023-10-12 16:58:52.772973+00,6,15.5269658565521,true,highlighted,0.619017601013184,4,false,true,false,28
19,e0851c7a-feb4-47e3-8521-abf4525d05f3,2023-10-12 16:58:52.980913+00,7,11.2733709812164,true,plain,6.71318125724792,4,false,true,false,28
20,e0851c7a-feb4-47e3-8521-abf4525d05f3,2023-10-12 16:58:54.190943+00,8,16.1488308906555,true,highlighted,0.488703966140747,4,false,true,false,28
21,e0851c7a-feb4-47e3-8521-abf4525d05f3,2023-10-12 16:58:54.695321+00,9,17.7210099697113,true,highlighted,4.44336342811584,4,false,true,false,28
22,e0851c7a-feb4-47e3-8521-abf4525d05f3,2023-10-12 16:58:54.923414+00,10,13.6171772480011,true,plain,0.480048894882202,4,false,true,false,28
23,e0851c7a-feb4-47e3-8521-abf4525d05f3,2023-10-12 16:58:55.137327+00,11,15.3597095012665,true,highlighted,0.374304056167603,4,false,true,false,28
24,e0851c7a-feb4-47e3-8521-abf4525d05f3,2023-10-12 16:58:55.346906+00,12,13.3259081840515,true,highlighted,0.842536687850952,4,false,true,false,28
25,027977c7-50e9-450c-91b2-5989706074f5,2023-10-12 17:13:27.166066+00,1,12.5614333152771,true,highlighted,0.69618558883667,4.5,false,true,true,25
26,027977c7-50e9-450c-91b2-5989706074f5,2023-10-12 17:13:27.667822+00,2,17.2066514492035,true,highlighted,4.71607160568237,4.5,false,true,true,25
27,027977c7-50e9-450c-91b2-5989706074f5,2023-10-12 17:13:29.843797+00,3,11.1141686439514,true,plain,0.353320360183716,4.5,false,true,true,25
28,027977c7-50e9-450c-91b2-5989706074f5,2023-10-12 17:13:30.426144+00,4,10.0222296714783,true,plain,0.518916845321655,4.5,false,true,true,25
29,027977c7-50e9-450c-91b2-5989706074f5,2023-10-12 17:13:30.960395+00,5,14.0210776329041,true,highlighted,0.536667108535767,4.5,false,true,true,25
30,027977c7-50e9-450c-91b2-5989706074f5,2023-10-12 17:13:31.445065+00,6,9.16758418083191,true,plain,0.423382997512817,4.5,false,true,true,25
31,027977c7-50e9-450c-91b2-5989706074f5,2023-10-12 17:13:31.651574+00,7,17.5057656764984,true,highlighted,1.52770018577576,4.5,false,true,true,25
